# IEC Vap Identifier - Pass
# Auto-generated by classify_fixtures.rb

IEC 60332-1-1:2004+AMD1:2015 CSV
IEC 60332-1-2:2004+AMD1:2015 CSV
IEC 60332-1-3:2004+AMD1:2015 CSV
IEC 60332-3-10:2000+AMD1:2008 CSV
IEC 60332-3-10:2018 RLV
IEC 60332-3-21:2018 RLV
IEC 60332-3-22:2000+AMD1:2008 CSV
IEC 60332-3-22:2018 RLV
IEC 60332-3-23:2000+AMD1:2008 CSV
IEC 60332-3-23:2018 RLV
IEC 60332-3-24:2000+AMD1:2008 CSV
IEC 60332-3-24:2018 RLV
IEC 60332-3-25:2000+AMD1:2008 CSV
IEC 60332-3-25:2018 RLV
IEC 60332:2022 SER
IEC 60335-1:2001+AMD1:2004+AMD2:2006 CSV
IEC 60335-1:2010+AMD1:2013+AMD2:2016 CSV
IEC 60335-1:2020 CMV
IEC 60335-2-10:2002+AMD1:2008 CSV
IEC 60335-2-10:2021 CMV
IEC 60335-2-101:2002+AMD1:2008+AMD2:2014 CSV
IEC 60335-2-102:2004+AMD1:2008+AMD2:2012 CSV
IEC 60335-2-102:2017 RLV
IEC 60335-2-103:2006+AMD1:2010 CSV
IEC 60335-2-103:2015+AMD1:2017+AMD2:2019 CSV
IEC 60335-2-104:2021 RLV
IEC 60335-2-105:2004+AMD1:2008+AMD2:2013 CSV
IEC 60335-2-105:2016+AMD1:2019 CSV
IEC 60335-2-106:2021 RLV
IEC 60335-2-107:2017+AMD1:2020+AMD2:2021 CSV
IEC 60335-2-109:2010+AMD1:2013+AMD2:2016 CSV
IEC 60335-2-11:1993+AMD1:1998 CSV
IEC 60335-2-11:2002+AMD1:2003 CSV
IEC 60335-2-11:2008+AMD1:2012+AMD2:2015 CSV
IEC 60335-2-11:2019 RLV
IEC 60335-2-110:2013+AMD1:2019 CSV
IEC 60335-2-113:2016+AMD1:2021 CSV
IEC 60335-2-12:2002+AMD1:2008+AMD2:2017 CSV
IEC 60335-2-13:1993+AMD1:1993+AMD2:1998 CSV
IEC 60335-2-13:2002+AMD1:2004+AMD2:2008 CSV
IEC 60335-2-13:2009+AMD1:2016 CSV
IEC 60335-2-13:2021 CMV
IEC 60335-2-14:2006+AMD1:2008+AMD2:2012 CSV
IEC 60335-2-14:2016+AMD1:2019 CSV
IEC 60335-2-15:1995+AMD1:1999 CSV
IEC 60335-2-15:2002+AMD1:2005+AMD2:2008 CSV
IEC 60335-2-15:2012+AMD1:2016+AMD2:2018 CSV
IEC 60335-2-16:2002+AMD1:2008+AMD2:2011 CSV
IEC 60335-2-17:2002+AMD1:2006+AMD2:2008 CSV
IEC 60335-2-17:2012+AMD1:2015+AMD2:2019 CSV
